symbol,security,gics sector,gics sub-industry,headquarters location,date added,cik,founded,date,sp500_added,sp500_removed
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872.0,1999,2025-08-20,2000-06-05,
AAL,,,,,1996-01-02,,,,1996-01-02,2024-09-21
AAMRQ,,,,,1996-01-02,,,,1996-01-02,2003-03-10
AAP,,,,,2015-07-09,,,,2015-07-09,2023-08-28
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193.0,1977,2025-08-20,1996-01-02,
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152.0,2013 (1888),2025-08-20,2013-01-02,
ABC,,,,,2001-08-30,,,,2001-08-30,2023-09-01
ABI,,,,,1996-01-02,,,,1996-01-02,2008-11-20
ABKFQ,,,,,2000-12-11,,,,2000-12-11,2008-06-10
ABMD,,,,,2018-05-31,,,,2018-05-31,2022-12-19
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720.0,2008,2025-08-20,2023-09-18,
ABS,,,,,1996-01-02,,,,1996-01-02,2006-05-31
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800.0,1888,2025-08-20,1996-01-02,
ABX,,,,,1996-01-02,,,,1996-01-02,2002-07-18
ACAS,,,,,2007-07-09,,,,2007-07-09,2009-03-02
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,947484.0,1995,2025-08-20,2022-11-01,
ACKH,,,,,1996-01-02,,,,1996-01-02,2000-11-08
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373.0,1989,2025-08-20,2011-07-06,
ACS,,,,,2004-04-02,,,,2004-04-02,2010-02-02
ACV,,,,,1996-01-02,,,,1996-01-02,2006-11-16
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343.0,1982,2025-08-20,1997-05-06,
ADCT,,,,,1999-08-02,,,,1999-08-02,2007-06-26
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281.0,1965,2025-08-20,1999-10-12,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084.0,1902,2025-08-20,1996-01-02,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,8670.0,1949,2025-08-20,1996-01-02,
ADS,,,,,2013-12-23,,,,2013-12-23,2020-05-22
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,769397.0,1982,2025-08-20,1996-01-02,
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910.0,1902,2025-08-20,1996-01-02,
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904.0,1906,2025-08-20,1996-01-02,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761.0,1981,2025-08-20,1998-10-02,
AET,,,,,1996-01-02,,,,1996-01-02,2018-11-28
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977.0,1955,2025-08-20,1999-05-28,
AFS.A,,,,,1998-04-08,,,,1998-04-08,2000-11-29
AGC,,,,,1996-01-02,,,,1996-01-02,2001-08-20
AHM,,,,,1996-01-02,,,,1996-01-02,1998-09-30
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1980-03-31,5272.0,1919,2025-08-20,1996-01-02,
AIT,,,,,1996-01-02,,,,1996-01-02,1999-10-07
AIV,,,,,2003-03-14,,,,2003-03-14,2020-11-17
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,1267238.0,1892,2025-08-20,2007-04-10,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190.0,1927,2025-08-20,2016-05-31,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222.0,1998,2025-08-20,2007-07-12,
AL,,,,,1996-01-02,,,,1996-01-02,2002-07-18
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913.0,1994,2025-08-20,2016-07-01,
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149.0,1997,2025-08-20,2017-06-19,
ALK,,,,,2016-05-13,,,,2016-05-13,2023-12-16
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,899051.0,1931,2025-08-20,1996-01-02,
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241.0,1908,2025-08-20,2013-12-02,
ALXN,,,,,2012-05-25,,,,2012-05-25,2021-06-04
AM,,,,,1996-01-02,,,,1996-01-02,2004-04-30
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,6951.0,1967,2025-08-20,1996-01-02,
AMCC,,,,,2001-01-02,,,,2001-01-02,2006-05-10
